ip,timestamp,method,url,path,query,protocol,status,size,response_time,referer,user_agent,decoded_url,decoded_query,body,decoded_body,content_type,is_json_payload,json_depth,param_count_body,attack_type,existing_label
192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?id=query%253Dweb_app%2526lang%253Den&Submit=Submit,/vulnerabilities/sqli/,id=query%253Dweb_app%2526lang%253Den&Submit=Submit,HTTP/1.1,200,602,13,http://127.0.0.1/dvwa/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Safari/605.1.15",/vulnerabilities/sqli/?id=query%3Dweb_app%26lang%3Den&Submit=Submit,id=query%3Dweb_app%26lang%3Den&Submit=Submit,,,,0,0,0,normal,0
192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?id=category%253Delectronics%2526sort%253Dprice_asc&Submit=Submit,/vulnerabilities/sqli/,id=category%253Delectronics%2526sort%253Dprice_asc&Submit=Submit,HTTP/1.1,200,1414,2,http://127.0.0.1/dvwa/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",/vulnerabilities/sqli/?id=category%3Delectronics%26sort%3Dprice_asc&Submit=Submit,id=category%3Delectronics%26sort%3Dprice_asc&Submit=Submit,,,,0,0,0,normal,0
192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?id=filter%253Dactive%2526page%253D41&Submit=Submit,/vulnerabilities/sqli/,id=filter%253Dactive%2526page%253D41&Submit=Submit,HTTP/1.1,200,3271,1,http://127.0.0.1/dvwa/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Safari/605.1.15",/vulnerabilities/sqli/?id=filter%3Dactive%26page%3D41&Submit=Submit,id=filter%3Dactive%26page%3D41&Submit=Submit,,,,0,0,0,normal,0
192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?user%3Dalice,/vulnerabilities/sqli/,user%3Dalice,HTTP/1.1,200,856,1,http://127.0.0.1/dvwa/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Safari/605.1.15",/vulnerabilities/sqli/?user=alice,user=alice,,,,0,0,0,normal,0
192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?query%3Dcybersecurity&lang%3Den,/vulnerabilities/sqli/,query%3Dcybersecurity&lang%3Den,HTTP/1.1,200,622,1,http://127.0.0.1/dvwa/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",/vulnerabilities/sqli/?query=cybersecurity&lang=en,query=cybersecurity&lang=en,,,,0,0,0,normal,0
192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?article_id%3D49&author%3Dguest,/vulnerabilities/sqli/,article_id%3D49&author%3Dguest,HTTP/1.1,200,2569,0,http://127.0.0.1/dvwa/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Safari/605.1.15",/vulnerabilities/sqli/?article_id=49&author=guest,article_id=49&author=guest,,,,0,0,0,normal,0
192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?id%3D11%26Submit%3DSubmit,/vulnerabilities/sqli/,id%3D11%26Submit%3DSubmit,HTTP/1.1,200,1314,1,http://127.0.0.1/dvwa/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Safari/605.1.15",/vulnerabilities/sqli/?id=11&Submit=Submit,id=11&Submit=Submit,,,,0,0,0,normal,0
192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?title%3DPhone%26submit%3DSearch,/vulnerabilities/sqli/,title%3DPhone%26submit%3DSearch,HTTP/1.1,200,2732,0,http://127.0.0.1/dvwa/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,/vulnerabilities/sqli/?title=Phone&submit=Search,title=Phone&submit=Search,,,,0,0,0,normal,0
192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?search%3Dmachine_learning,/vulnerabilities/sqli/,search%3Dmachine_learning,HTTP/1.1,200,2913,0,http://127.0.0.1/dvwa/,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,/vulnerabilities/sqli/?search=machine_learning,search=machine_learning,,,,0,0,0,normal,0
192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?id=article_id%253D3%2526author%253Dalice&Submit=Submit,/vulnerabilities/sqli/,id=article_id%253D3%2526author%253Dalice&Submit=Submit,HTTP/1.1,200,526,1,http://127.0.0.1/dvwa/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",/vulnerabilities/sqli/?id=article_id%3D3%26author%3Dalice&Submit=Submit,id=article_id%3D3%26author%3Dalice&Submit=Submit,,,,0,0,0,normal,0
