url_length,path_length,query_length,body_length,is_json_payload,json_depth,param_count_body,number_of_parameters,parameter_name_count,encoded_character_count,percent_encoded_count,single_quote_count,double_quote_count,semicolon_count,comma_count,parenthesis_count,dash_count,hash_count,asterisk_count,slash_count,equal_count,plus_count,whitespace_count,keyword_select,keyword_union,keyword_from,keyword_where,keyword_or,keyword_and,keyword_insert,keyword_update,keyword_delete,keyword_drop,keyword_alter,keyword_create,keyword_table,keyword_information_schema,keyword_sleep,keyword_benchmark,keyword_version,has_union_select,has_tautology,has_sql_comment,has_quote,has_subquery,has_information_schema,has_sleep,has_benchmark,has_if_function,has_case_when,has_exists,has_substring,has_ascii,has_length,has_database_function,has_version_function,has_system_variable,has_error_based_pattern,has_error_condition,nested_select_count,sql_function_count,comparison_count,logical_operator_count,method_get,method_post,status_code,is_error_response,response_size,response_time,ip_request_count,ip_unique_path_count,ip_unique_query_count,text,ip,timestamp,method,url,path,query,decoded_query,attack_type,label,label_source,request_hash
73,22,50,0,0,0,0,2,8,3,3,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,200,0,602,13,13115,10,6928,id=query%3Dweb_app%26lang%3Den&Submit=Submit,192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?id=query%253Dweb_app%2526lang%253Den&Submit=Submit,/vulnerabilities/sqli/,id=query%253Dweb_app%2526lang%253Den&Submit=Submit,id=query%3Dweb_app%26lang%3Den&Submit=Submit,normal,0,existing_log_label,1941628aba8f47d91825d79791ccf5cb
87,22,64,0,0,0,0,2,8,3,3,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,200,0,1414,2,13115,10,6928,id=category%3Delectronics%26sort%3Dprice_asc&Submit=Submit,192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?id=category%253Delectronics%2526sort%253Dprice_asc&Submit=Submit,/vulnerabilities/sqli/,id=category%253Delectronics%2526sort%253Dprice_asc&Submit=Submit,id=category%3Delectronics%26sort%3Dprice_asc&Submit=Submit,normal,0,existing_log_label,a5fbb4804429858f3271727325a1b429
73,22,50,0,0,0,0,2,8,3,3,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,200,0,3271,1,13115,10,6928,id=filter%3Dactive%26page%3D41&Submit=Submit,192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?id=filter%253Dactive%2526page%253D41&Submit=Submit,/vulnerabilities/sqli/,id=filter%253Dactive%2526page%253D41&Submit=Submit,id=filter%3Dactive%26page%3D41&Submit=Submit,normal,0,existing_log_label,5bfa5f3270fb911331a3b2b67b8dd2fa
35,22,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,200,0,856,1,13115,10,6928,user=alice,192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?user%3Dalice,/vulnerabilities/sqli/,user%3Dalice,user=alice,normal,0,existing_log_label,648757a84988d73aa675bf031485979d
54,22,31,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,200,0,622,1,13115,10,6928,query=cybersecurity&lang=en,192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?query%3Dcybersecurity&lang%3Den,/vulnerabilities/sqli/,query%3Dcybersecurity&lang%3Den,query=cybersecurity&lang=en,normal,0,existing_log_label,bfa222a32a95750048287e410e8e3039
53,22,30,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,200,0,2569,0,13115,10,6928,article_id=49&author=guest,192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?article_id%3D49&author%3Dguest,/vulnerabilities/sqli/,article_id%3D49&author%3Dguest,article_id=49&author=guest,normal,0,existing_log_label,9a89b7196557dba888c9b76f5f7bec3b
48,22,25,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,200,0,1314,1,13115,10,6928,id=11&Submit=Submit,192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?id%3D11%26Submit%3DSubmit,/vulnerabilities/sqli/,id%3D11%26Submit%3DSubmit,id=11&Submit=Submit,normal,0,existing_log_label,9bc8f3b76e911c5559a8a37ab61369b9
54,22,31,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,200,0,2732,0,13115,10,6928,title=Phone&submit=Search,192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?title%3DPhone%26submit%3DSearch,/vulnerabilities/sqli/,title%3DPhone%26submit%3DSearch,title=Phone&submit=Search,normal,0,existing_log_label,eb15807a8c551907c8668b54fa964b7f
48,22,25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,200,0,2913,0,13115,10,6928,search=machine_learning,192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?search%3Dmachine_learning,/vulnerabilities/sqli/,search%3Dmachine_learning,search=machine_learning,normal,0,existing_log_label,c49b4fb852ad4588829fd5aa0feebbd0
77,22,54,0,0,0,0,2,8,3,3,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,200,0,526,1,13115,10,6928,id=article_id%3D3%26author%3Dalice&Submit=Submit,192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?id=article_id%253D3%2526author%253Dalice&Submit=Submit,/vulnerabilities/sqli/,id=article_id%253D3%2526author%253Dalice&Submit=Submit,id=article_id%3D3%26author%3Dalice&Submit=Submit,normal,0,existing_log_label,422de411f50f4ad4c5be6833942cd62e
58,22,35,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,200,0,1893,0,13115,10,6928,book_title=O'Connor's+Guide,192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?book_title%3DO%27Connor%27s%2BGuide,/vulnerabilities/sqli/,book_title%3DO%27Connor%27s%2BGuide,book_title=O'Connor's+Guide,normal,0,existing_log_label,c8e3b04ad5b2c6d204bcd1c8f2f3c64d
73,22,50,0,0,0,0,2,8,3,3,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,200,0,4420,1,13115,10,6928,id=filter%3Dactive%26page%3D16&Submit=Submit,192.168.145.135,12/Sep/2026:14:16:10 +0700,GET,/vulnerabilities/sqli/?id=filter%253Dactive%2526page%253D16&Submit=Submit,/vulnerabilities/sqli/,id=filter%253Dactive%2526page%253D16&Submit=Submit,id=filter%3Dactive%26page%3D16&Submit=Submit,normal,0,existing_log_label,49e0131cc4b3bd356853ca0ec5ae3f13
