payload,label,attack_type,variant_type,encoding_type,template_id,normalized_hash,payload_hash,length
query%253Dweb_app%2526lang%253Den,0,normal,standard,double_encoded,NORMAL_011,c902e98c4670a426df4cd19de8afb28e,1cb429aaf3e3120867c31a341a955a1f,33
category%253Delectronics%2526sort%253Dprice_asc,0,normal,standard,double_encoded,NORMAL_004,3ee95b9c61fa4b77311a09f4552335a5,076aedfb0c01e5563bf60d6038649618,47
filter%253Dactive%2526page%253D41,0,normal,standard,double_encoded,NORMAL_009,2cfc65b95b872e015ea4c465f4edff95,33e4c60a285b4a46c912fb85f35ff2e0,33
user%3Dalice,0,normal,standard,url_encoded,NORMAL_005,bdc2af3d3d588a3ab4b219f00e54907c,78ca65f2440f93ecef8690d2eed224c3,12
query%3Dcybersecurity&lang%3Den,0,normal,standard,partially_encoded,NORMAL_011,9211e5af23a1d2e2b44998db89a3fd0d,60317fa65f3ba13536661258c1eb13d8,31
article_id%3D49&author%3Dguest,0,normal,standard,partially_encoded,NORMAL_010,f636f3b45f7632d6929cf15ccd57097a,e4e6716b444eed5166c07574dd6e0a73,30
id%3D11%26Submit%3DSubmit,0,normal,standard,url_encoded,NORMAL_001,e448caf2b15a1a31e5043ad2f5b59bf6,132d6176787209efb71dcd5676a9d54d,25
title%3DPhone%26submit%3DSearch,0,normal,standard,url_encoded,NORMAL_006,21717c0e7aaf0c7a541391c6d66558a2,03770090905bf263e4769970cc4ae2a4,31
search%3Dmachine_learning,0,normal,standard,url_encoded,NORMAL_003,e5121b0372ba5a39ea36cb091be97f98,c0b85541887585b82168c2821ac9e28c,25
article_id%253D3%2526author%253Dalice,0,normal,standard,double_encoded,NORMAL_010,ca1729ded5cf652fc310e81db136dac3,875eface91c8b8bd5a7577a8a3441c1f,37
book_title%3DO%27Connor%27s%2BGuide,0,normal,standard,url_encoded,NORMAL_013,979253c7a40879a6c00a3a9b02806368,4131fe78ba5f61792cedb3c1e4ddafcc,35
filter%253Dactive%2526page%253D16,0,normal,standard,double_encoded,NORMAL_009,b3b544203f6216f6064c6c2282be8476,5b677c3e1b9c278c14698889184fd913,33
name=John+Doe&email=john%40example.com,0,normal,standard,raw,NORMAL_015,6d344bea03588fc573d5f6adfd0231eb,f39370a82b26871da84d931e26671169,38
id%3D12&Submit=Submit,0,normal,standard,partially_encoded,NORMAL_001,8c2ce566a5f37f69ca44e657763fae65,44d3411c8e7881fea3f608193f4e5be4,21
product_id%3D42&qty%3D1,0,normal,standard,partially_encoded,NORMAL_012,b6c46b5df64ba5626224ad1bc0bd0752,d9778a23088348f0aed5c7128fa9858d,23
title%3DMachine_learning&submit%3DSearch,0,normal,standard,partially_encoded,NORMAL_006,4ce5c08baf1800fa4b445b3061c848fe,aa45b67952120a481c06176866599fec,40
category=clothing&sort=price_desc,0,normal,standard,raw,NORMAL_004,ebb822d7cdf4bddc09917e23751c3e7c,ebb822d7cdf4bddc09917e23751c3e7c,33
page%253D9%2526limit%253D10,0,normal,standard,double_encoded,NORMAL_002,6301044c972256eaf52fbbf5c81525a2,5dc7439be2939b9e542483e9989ac70a,27
article_id%3D12%26author%3Dbob_smith,0,normal,standard,url_encoded,NORMAL_010,ce346d30f6875245b54bb019fcd9bc37,a71d6c90330d8e565a7ba0fc497fa8de,36
category%3Dclothing&sort=price_asc,0,normal,standard,partially_encoded,NORMAL_004,1495bfefd05f8b585b42ea88f533f9c3,ca872c6b58e56e77ab9341359a7b9e75,34
title%253DWeb_app%2526submit%253DSearch,0,normal,standard,double_encoded,NORMAL_006,b07e5e0c64d3e0afa5786a50e92fdd3a,b58d9573fcff1d5d12b881294eb79906,39
query%3Dcybersecurity%26lang%3Den,0,normal,standard,url_encoded,NORMAL_011,06fd91ba242f69bdfcfdd21772eb4270,9af4382cbbe2cc9dd77221e7ac2f6397,33
query%3Dbook%26lang%3Den,0,normal,standard,url_encoded,NORMAL_011,174ca69164cd6ce11105cca414671024,39a2e00d7c16e0a50562192ea05b0285,24
product_id%3D45%26qty%3D1,0,normal,standard,url_encoded,NORMAL_012,ace3c715e1b69907b2862fdd6c689aba,913143df200a80648cc0c09dba257048,25
book_title=O'Connor%27s+Guide,0,normal,standard,partially_encoded,NORMAL_013,a02b0936aff0158528e35e398c74b6c0,57541eaf6ce820f17ca98f08388bb989,29
page=14&limit=10,0,normal,standard,raw,NORMAL_002,dbc14a0d04d7544bc1919e675345d19b,dbc14a0d04d7544bc1919e675345d19b,16
comment%3DUser%27s%2Bfeedback%2Btext,0,normal,standard,url_encoded,NORMAL_014,7bd03cabbe3599008d896d482a3c3dd6,6cc7001ca0d3e5e832fe6c57ffbff815,36
comment%253DUser%2527s%252Bfeedback%252Btext,0,normal,standard,double_encoded,NORMAL_014,3047dafc52116f6b71683f16dc85b6e0,110f4264b51228788af909e362cdd652,44
user%3Dguest,0,normal,standard,url_encoded,NORMAL_005,870efc582d07ec747126b240fecd8daa,a9487a92648166fbe63f659166c0a545,12
category%3Dhome&sort%3Dname_asc,0,normal,standard,partially_encoded,NORMAL_004,47f437085f58ccacd854fcd54b73763a,3dbb7bad77ba7e3ba3fafaa9c7aab852,31
date%253D2026-09-08%2526status%253Dactive,0,normal,standard,double_encoded,NORMAL_007,e6a0e89f7534860763c1c766255d6aff,551437001ce518bf2d813f96aab9e3ef,41
comment%3DUser%27s+feedback+text,0,normal,standard,partially_encoded,NORMAL_014,a11ffa7665835a1b95fb3bab97270f32,c76178ad493b012f5cde6ed85d81f186,32
filter%3Dactive%26page%3D20,0,normal,standard,url_encoded,NORMAL_009,827c199bf42e6bf09a618342b6bb95b1,69f7a4caa467bdcb240227d893573703,27
product_id%3D15%26qty%3D1,0,normal,standard,url_encoded,NORMAL_012,29ab3a263a4a6616532499c65bde9126,026616c3f0b201f6b22e03133b072de6,25
query=book&lang=en,0,normal,standard,raw,NORMAL_011,fb6d2f07a53ce4c6f510888a12953684,fb6d2f07a53ce4c6f510888a12953684,18
search=web_app,0,normal,standard,raw,NORMAL_003,b5017717b193c5e885be05014cbacb39,b5017717b193c5e885be05014cbacb39,14
book_title%253DO%2527Connor%2527s%252BGuide,0,normal,standard,double_encoded,NORMAL_013,35da7c111d3200aee0c308fe9d33e114,d8eca00cf81ab8d5e6696464590fa5c3,43
page%253D15%2526limit%253D10,0,normal,standard,double_encoded,NORMAL_002,259ad27e239c29570a1492c0716ef1fc,6b1644c978f967db5200ee66bf783fff,28
page=6&limit=10,0,normal,standard,raw,NORMAL_002,1d11352183c5e5d536ea0e969838b4df,1d11352183c5e5d536ea0e969838b4df,15
product_id%3D6&qty%3D1,0,normal,standard,partially_encoded,NORMAL_012,c7e5dccef9d48768bdbc8730c8acceda,5a1cf741cb35d6c2de9e7a1991321f18,22
tag=news,0,normal,standard,raw,NORMAL_008,1fa25ab5c0f229f1f61aff07b5a73d3a,1fa25ab5c0f229f1f61aff07b5a73d3a,8
tag%3Ddev,0,normal,standard,partially_encoded,NORMAL_008,f819abc22bca62143bd30852cde6dc71,cee6f7868183eb0e4759a347ae6daaec,9
category%253Dtoys%2526sort%253Dprice_desc,0,normal,standard,double_encoded,NORMAL_004,31743f18ebcbd1d028da18a025427aa8,fccd7844855b1afae65b4004c9e2918c,41
page=31&limit=10,0,normal,standard,raw,NORMAL_002,f3b0262b51f0da051a98da19f9c32e53,f3b0262b51f0da051a98da19f9c32e53,16
article_id%3D7%26author%3Djohn_doe,0,normal,standard,url_encoded,NORMAL_010,074c673ec58db93c67c430706e8604f9,9e80db1d1f32eb2e318dca178524be83,34
category%253Dhome%2526sort%253Dprice_desc,0,normal,standard,double_encoded,NORMAL_004,36d5cf817d2dd7de1cfa204966fa4649,a501a1e054492e324bc9b835e8bbaab2,41
name%3DJohn+Doe&email=john%40example.com,0,normal,standard,partially_encoded,NORMAL_015,d8dd19cd0012e715f3dc44a0eb828b6c,62710f7777612782d918077ecd56c67f,40
query%3Dphone&lang%3Den,0,normal,standard,partially_encoded,NORMAL_011,6f98c9f6bf133bc48cc9acc6de59d925,ac460c91e9b5e8fc6e89a7feb3f0fba8,23
title=Database&submit=Search,0,normal,standard,raw,NORMAL_006,5d86201e2da5cd5d198d3b0b062b93fa,76f8a08945e383ec86a3ab53bb846b31,28
user%3Duser123,0,normal,standard,url_encoded,NORMAL_005,4c531420772ec2362a51fb7efbc670d0,4f5b330abec16179f2975d64da4d9fb9,14
comment=User's+feedback+text,0,normal,standard,partially_encoded,NORMAL_014,ebe3aff662d58d459c529e7da8d84454,a2dc5819bf1c024fb1107e295d238284,28
article_id%3D15&author=alice,0,normal,standard,partially_encoded,NORMAL_010,e326acb67b20d5f6313991ed3538b9d9,d634b6d200731aee299e4ed37467aeb1,28
title%3DPhone&submit%3DSearch,0,normal,standard,partially_encoded,NORMAL_006,22cf789fb60ee86dcabab0ec0be55c52,56567ddbd0c1c3b05b1ff1d9dd6e81c7,29
id%253D29%2526Submit%253DSubmit,0,normal,standard,double_encoded,NORMAL_001,3616ab29510adf9af3e4b7b8f17af913,183857c68cdb1a95e36436183870f0a7,31
article_id%3D42&author=user123,0,normal,standard,partially_encoded,NORMAL_010,537c159b951b1e76f02746f9c8fb81f8,4e1000c57e119566bcc33c787d159702,30
search%253Dbook,0,normal,standard,double_encoded,NORMAL_003,d97aa01dc23a99bef2663342958eafb4,063261f9d38d7238fabea1735079d392,15
article_id%3D23%26author%3Djohn_doe,0,normal,standard,url_encoded,NORMAL_010,6e83a72f8ba1d64f0fda930d58c7ea7b,359b6a80c157da49a01c0ab8d2287c27,35
date=2026-09-08&status%3Dactive,0,normal,standard,partially_encoded,NORMAL_007,ffe72515b6c3c5b3753024dd89d95430,65d779cf5909000b078a48d4cb4ece17,31
search%253Dlaptop,0,normal,standard,double_encoded,NORMAL_003,194c143e47d813047470515937858b56,1164b7b1aeab1a291e3c606c3a5e273b,17
id=7&Submit=Submit,0,normal,standard,raw,NORMAL_001,1d4a665c82d2ecaf0b2a46979843474a,9748b93aa682b2c94c46ae235a179d2b,18
filter%253Dactive%2526page%253D10,0,normal,standard,double_encoded,NORMAL_009,5c9e4972fe9274eac57009c7338d4308,acd568bf998d4896dad330eb8f7183d1,33
query=machine_learning&lang%3Den,0,normal,standard,partially_encoded,NORMAL_011,3ff60167717567ee0cd0130df5bf4050,93c388ebd2807f59176ce6c7b1c4fd85,32
filter=active&page=34,0,normal,standard,partially_encoded,NORMAL_009,bafef6f546b652166ef93858b937573b,bafef6f546b652166ef93858b937573b,21
query=database&lang=en,0,normal,standard,raw,NORMAL_011,7622b1ab7d39c8e98806b59fa958166a,7622b1ab7d39c8e98806b59fa958166a,22
query%3Ddatabase%26lang%3Den,0,normal,standard,url_encoded,NORMAL_011,204119159b322d291cb47d2ce85a14de,f8664db476f96d30c557be4f5a856cc3,28
filter=active&page%3D37,0,normal,standard,partially_encoded,NORMAL_009,9c6195933d6f706b4b99bdf93a2f0ecf,1f50c30defe6e57c3b5eb55c30c5df77,23
title%253DCybersecurity%2526submit%253DSearch,0,normal,standard,double_encoded,NORMAL_006,d1ff68f0a8ad55d5b1b67d4f35e97999,ff78aaf6882f99862f5af71daf46d8e9,45
page=46&limit=10,0,normal,standard,raw,NORMAL_002,afd54663d4fefbbec6cff502fe94063b,afd54663d4fefbbec6cff502fe94063b,16
page=1&limit=10,0,normal,standard,raw,NORMAL_002,5ec89b2b44d3d8dcb013e3425085757f,5ec89b2b44d3d8dcb013e3425085757f,15
date%3D2026-09-08%26status%3Dactive,0,normal,standard,url_encoded,NORMAL_007,6f1b6862522ee1554d2b2a6fa8fd0125,b9bd3b3f8e4ce812b2446d17c16664a8,35
filter%253Dactive%2526page%253D12,0,normal,standard,double_encoded,NORMAL_009,82982b58e3d8c68acbeb65e831236746,ab169f512a6e8a11e784f11de7923218,33
title=Book&submit=Search,0,normal,standard,raw,NORMAL_006,ad607ac1dac25ced2447b5e143c0d46b,08bd40411ee7cf6378dffd0cd5b268b7,24
search=database,0,normal,standard,partially_encoded,NORMAL_003,7f1eb48be7fc2918cfef8ce5f9427163,7f1eb48be7fc2918cfef8ce5f9427163,15
page%253D8%2526limit%253D10,0,normal,standard,double_encoded,NORMAL_002,915f6a68e10332a392aca29929487b06,a005dfedbf043b91f10eefc570773ee3,27
page%3D20&limit%3D10,0,normal,standard,partially_encoded,NORMAL_002,4b0eaa0f5b50462a2d3da75f1d55ff86,e1998198bb1296d3eff5e6dedd0a7058,20
search%3Dphone,0,normal,standard,url_encoded,NORMAL_003,b534feb4d9f81ba7e5f47732bfdbb23f,1268935889b5972c1b46d5dbd68b5e18,14
book_title%3DO'Connor%27s+Guide,0,normal,standard,partially_encoded,NORMAL_013,30e1db42bf76c777a1b56e86f040d7b8,12a0e2773d128849dc17381dfa0f8620,31
article_id%3D2&author=admin_viewer,0,normal,standard,partially_encoded,NORMAL_010,37bebb51a1825a92a1987cd787841c28,8c4dacc0edcd1301e5b9f7586d59e885,34
category%3Dbooks&sort=newest,0,normal,standard,partially_encoded,NORMAL_004,ad5850b5db511435c74ec50893b8802f,46800beaf2fead978f735078719fa50f,28
title=Web_app&submit=Search,0,normal,standard,partially_encoded,NORMAL_006,0ac83625a0422be3a5d6de0fcdf074ea,463f5bcf5d2d993c77b957caabdbdb0a,27
filter%253Dactive%2526page%253D26,0,normal,standard,double_encoded,NORMAL_009,4839290a3e4dcb1badc40394fbcd7fe5,baa71cf93cf494012c4480b3e010b23f,33
user%3Djohn_doe,0,normal,standard,partially_encoded,NORMAL_005,2ec86acdf128acb0588f40034aa0bf7e,b8059bc32f33ae1213101969155405e8,15
article_id%253D22%2526author%253Dadmin_viewer,0,normal,standard,double_encoded,NORMAL_010,e0519f2978f579b65500798c7b3af83c,933be155e227f3248b284e5d48488eab,45
filter%3Dactive&page%3D26,0,normal,standard,partially_encoded,NORMAL_009,0557612dd9816d93558e59134b79b976,bae5c797728540f08fa0cd59947f68e1,25
article_id%3D4%26author%3Duser123,0,normal,standard,url_encoded,NORMAL_010,8720fad790dde86e4739b4608c1bff1e,727bc858099195529a1068692f1d95c3,33
id%3D14&Submit%3DSubmit,0,normal,standard,partially_encoded,NORMAL_001,e15fc9d18bb88b647aa65a46a256589a,1c63963458ebc21514854fd5bf093178,23
filter=active&page%3D16,0,normal,standard,partially_encoded,NORMAL_009,4370af196b731daa8c22a5934c5a9b48,10f5fa2419ced4014944294be3d1322c,23
filter=active&page%3D19,0,normal,standard,partially_encoded,NORMAL_009,20eaeb6fadd82f9b15127afd7f6b7341,9429a429bda76fad269b7564574ec25b,23
article_id%253D15%2526author%253Djohn_doe,0,normal,standard,double_encoded,NORMAL_010,0e996d103a12c70c1fb5fc1e8f4fbbff,30a8a228cf9bb83c49f54605398157b5,41
tag%3Dtutorial,0,normal,standard,partially_encoded,NORMAL_008,5dd02152268c26fd5cb23638184be6bc,15c0533aa6410b7bdda861fab0f3c9b6,14
id%3D35%26Submit%3DSubmit,0,normal,standard,url_encoded,NORMAL_001,2d478bb62f1dc802617aadb37455e833,407f86660958bb9f261a7712e9c5c60d,25
id%3D28%26Submit%3DSubmit,0,normal,standard,url_encoded,NORMAL_001,8ea3d2d8974f1f9871ebe0c5f085588e,342dbbe613e1afd2b20666c4f601fd78,25
tag%3Dtech,0,normal,standard,partially_encoded,NORMAL_008,c3cc8a7cdaf87b7dce1087850e6ea232,9313ca0d225f0e27678f382483d6b96d,10
filter=active&page=35,0,normal,standard,raw,NORMAL_009,4649571d0d03d1e364190ffabf3e516d,4649571d0d03d1e364190ffabf3e516d,21
tag=dev,0,normal,standard,raw,NORMAL_008,6647c39ef4d875b62c7d335d96759e61,6647c39ef4d875b62c7d335d96759e61,7
name=John+Doe&email%3Djohn%40example.com,0,normal,standard,partially_encoded,NORMAL_015,f5f75e8e8f14280d7492d425899ade4b,ed6c31006282ebec626aeaf0ae40adad,40
date=2026-09-08&status=active,0,normal,standard,raw,NORMAL_007,67092892e621e75292fff8f6e6cd2c69,67092892e621e75292fff8f6e6cd2c69,29
id%3D39%26Submit%3DSubmit,0,normal,standard,url_encoded,NORMAL_001,7b28efccb384fd0cb40ab5a3c14134b1,eea51267d4235a696c63f1809d7a912d,25
filter%3Dactive&page%3D20,0,normal,standard,partially_encoded,NORMAL_009,da383f8acdb69aa8d510bd83cf034762,e4bd647dafd64a263fe8974dfd2edd0d,25
tag%253Dtutorial,0,normal,standard,double_encoded,NORMAL_008,99727016c4c65ed15e33aedc91154eaa,339b9dc07aa2080c413f225e5fea3b03,16
tag%3Dsecurity,0,normal,standard,partially_encoded,NORMAL_008,980591356e1f9c29c5c9e7acae119fa5,9e78fdceb0e294cf0b3edeb012bf9602,14
article_id=25&author%3Dbob_smith,0,normal,standard,partially_encoded,NORMAL_010,41e3d66cbb1df0da1bb3265522d7b26d,46fdac6aacceca802ae36af58de333d0,32
tag%253Ddev,0,normal,standard,double_encoded,NORMAL_008,1ddb4f9d13097b9fa584af76ac387164,190dd045e8a787d35153f7ab6db4545f,11
query%3Dmachine_learning%26lang%3Den,0,normal,standard,url_encoded,NORMAL_011,89b5fa5d314255852e733a97a7556b5a,d32032ae904fe9ed5d8b6719912284cf,36
article_id=26&author=guest,0,normal,standard,raw,NORMAL_010,ef1b972ed44b915ab09598553fda635f,ef1b972ed44b915ab09598553fda635f,26
product_id=7&qty=1,0,normal,standard,raw,NORMAL_012,fe825bfb6eb5652f3f9f356959e2d6ce,fe825bfb6eb5652f3f9f356959e2d6ce,18
page=25&limit=10,0,normal,standard,raw,NORMAL_002,b8c8f3e68bae5e46a5d119c14d075136,b8c8f3e68bae5e46a5d119c14d075136,16
article_id%3D18%26author%3Dbob_smith,0,normal,standard,url_encoded,NORMAL_010,8a202d17d3b29b1fed86b6058dcf378a,6024df59e03ebf4964d752ca375f8d03,36
product_id%3D1%26qty%3D1,0,normal,standard,url_encoded,NORMAL_012,10fb6bc8fa33b90cee31ca0d725223dc,4c2e79e2fa1a7600b2f3b470df5d060a,24
tag%3Dnews,0,normal,standard,url_encoded,NORMAL_008,b57f09bd6c3b18e4ace30107541fc771,3e95e2c9a6a026fa3ccd506981c581fd,10
query%253Ddatabase%2526lang%253Den,0,normal,standard,double_encoded,NORMAL_011,23d8e0b947c5f7f2144e0754755ba895,078483c6207c749c32df1ca90ee4040e,34
article_id%3D24&author%3Dalice,0,normal,standard,partially_encoded,NORMAL_010,abec35aacb5480be776b3a91ade7ae5d,d46f51580cdc7cc7ab9b53f91f022668,30
id%3D24%26Submit%3DSubmit,0,normal,standard,url_encoded,NORMAL_001,1324e1b37ac0aab67314c68eb28b439b,d9af38e8cba2d0529b8acea118772f81,25
title%3DLaptop%26submit%3DSearch,0,normal,standard,url_encoded,NORMAL_006,29eb1ddbcfb7397d8ac0cc4cdf0668db,2992a8cf49aa5925099d66bd3ab7e5ab,32
name%253DJohn%252BDoe%2526email%253Djohn%252540example.com,0,normal,standard,double_encoded,NORMAL_015,a9e7df41716249317c9630fb6f47467d,063866dcf2c0936bdec30abc19e56a16,58
id%253D35%2526Submit%253DSubmit,0,normal,standard,double_encoded,NORMAL_001,510e23e3dee8678425df8c5e399481c9,91980a693111cc238c68454e6068ba94,31
article_id%253D12%2526author%253Dbob_smith,0,normal,standard,double_encoded,NORMAL_010,80f4ef9596f24cbf54a325342459f230,02ba21a99d424e9e7385ccb1b7cc6080,42
book_title%3DO'Connor's+Guide,0,normal,standard,partially_encoded,NORMAL_013,281c7d400247797d82611dba43f27ec8,39e9caeff3091b6ed14e797171d5a5e2,29
