feature,importance
has_sql_comment,0.08248357539142007
single_quote_count,0.06335799419764736
has_quote,0.061555196982849586
tfidf_ id,0.05058315972878099
percent_encoded_count,0.04886377289577909
encoded_character_count,0.041086259565737714
logical_operator_count,0.03773811660905087
tfidf_ id=,0.034665132803221484
dash_count,0.027997824599323675
tfidf_=1',0.023867580108797342
query_length,0.018609112232188085
tfidf_d=1',0.01814844055873609
tfidf_id=1,0.01750038678334474
tfidf_selec,0.01674866608922203
tfidf_ id=1,0.015973183997105712
nested_select_count,0.0151283737423203
tfidf_sel,0.013495299497924726
url_length,0.012747290448811541
comparison_count,0.011969472197824862
tfidf_id=1',0.011749176810754812
tfidf_%27,0.010575562498268043
tfidf_d=1,0.007430727007134828
equal_count,0.007356057651115822
tfidf_age,0.006997969408828301
tfidf_mit,0.006928582556229985
param_count_body,0.006875889801030538
tfidf_pag,0.006218509118649293
tfidf_sele,0.006149632972520453
tfidf_and,0.006012340503007619
tfidf_-- ,0.005938471156787414
whitespace_count,0.005894401178925
tfidf_id=i,0.0058109217569042495
parenthesis_count,0.005693070781181089
tfidf_=1' ,0.005686341511417094
tfidf_d=id%,0.005650722250555928
tfidf_name,0.005584722020222096
keyword_or,0.004709401787726031
tfidf_=id%3,0.004662147691787155
tfidf_ame,0.004577878224121863
tfidf_1%2,0.004494217905924852
tfidf_submi,0.004493113437011452
tfidf_sub,0.00437766833991866
tfidf_d=1' ,0.004367071502068668
is_json_payload,0.003969721496655376
tfidf_nam,0.0038564782227653036
tfidf_ele,0.003852533867717496
tfidf__id,0.0038254796878646317
tfidf_id=,0.003802090751112114
tfidf_bmi,0.0038003611952155568
keyword_select,0.0037400376453442024
tfidf_subm,0.0037089472436637487
tfidf_3d1%,0.003563788801420286
tfidf_1' ,0.003547227764722499
comma_count,0.003516746689854345
path_length,0.0034587424004148847
tfidf_page,0.003376994150291163
tfidf_ or ,0.0032595547835158624
tfidf_lec,0.0032248221732422955
tfidf_ id=i,0.0031770679286272046
tfidf_it=s,0.00310494950103336
tfidf_d=i,0.0030472528671983677
asterisk_count,0.003021099795537245
slash_count,0.003008020672651024
tfidf_=id%,0.0029049691530647188
tfidf_=sub,0.002870582649056537
tfidf_tho,0.002799447884290681
tfidf_ect,0.002786376161333361
tfidf_ubmi,0.002746268548461211
tfidf_d=id,0.002607527226832487
has_tautology,0.0025985961585186213
method_get,0.0025691202166232036
tfidf_elec,0.0025099719122832712
tfidf_=subm,0.0024259867551822494
tfidf_ubmit,0.002411737386326018
tfidf_aut,0.0022938824788668096
tfidf_ubm,0.002235510752960896
tfidf_it=,0.002190890004031444
tfidf_bmit,0.0021849653006995205
tfidf_it ,0.002183275913976425
json_depth,0.002171249665220472
keyword_and,0.002156717503747582
tfidf_uth,0.0021047831635712427
tfidf_lect,0.002096378405699916
tfidf_passw,0.0020406870476629836
plus_count,0.002010787418449213
tfidf_auth,0.001982361106316299
tfidf_1%27,0.001981933553799639
tfidf_atego,0.0019589600404400767
tfidf_mit=,0.0019496955651762441
tfidf_d1%,0.0019290544210078886
tfidf_ an,0.0019048269742002132
tfidf_sswor,0.0018955128064946022
tfidf_ssw,0.0018709095264019733
tfidf_swo,0.0018476977014819733
tfidf_unio,0.001804462597736661
tfidf_ateg,0.0017900296190035078
tfidf_&sub,0.0017774782446912836
tfidf_%27%,0.0017045979609421017
tfidf_ass,0.0016266829368134208
tfidf_sword,0.0016191228262091807
tfidf_uni,0.001591275395349429
tfidf_tegor,0.0015708344802165793
tfidf_ and,0.0015428042677082354
tfidf_=id,0.0015261756467902735
tfidf_27%,0.001516070167662625
tfidf_assw,0.0015141356133241961
tfidf_age ,0.0014796594336506216
tfidf_1=1,0.001435698055330029
tfidf_ and ,0.0013515747565278763
hash_count,0.001310978910563391
tfidf_categ,0.0012818900204604217
tfidf_pass,0.001279464554696679
tfidf_3d1,0.0012776923573312165
tfidf_use,0.0012719405951932918
tfidf_and ,0.0012576936029988458
tfidf_bmit ,0.001202822374658894
tfidf_&su,0.0011700516306485758
tfidf_d%3d1,0.0011610981464180998
tfidf_asswo,0.0011504987438561397
tfidf_ or,0.001128577858651141
tfidf_mit ,0.001100858337099706
tfidf_d%3,0.0010924745959758298
tfidf_%3d1%,0.0010555619948875888
tfidf_ect ,0.001047044167756473
tfidf_egor,0.0010431378606742543
tfidf_sswo,0.0010382398459366986
tfidf_word,0.0010322875059315944
tfidf_le_,0.0010170750645872857
tfidf_%3d,0.0009955401604590443
tfidf_pas,0.0009939398621706661
tfidf_ - ,0.0009712799596667393
tfidf_27%2,0.0009603655115201091
tfidf_tego,0.0009539758944920485
tfidf_ cate,0.0009482988472279622
tfidf_swor,0.00091217931114259
body_length,0.0009056934900669879
tfidf_nd ,0.0009035048131055985
tfidf_7%2,0.0009017606870246629
tfidf_wor,0.0008927641898077595
tfidf_or ,0.0008699498860859917
tfidf_elect,0.0008693210224588416
tfidf_ory,0.000846978181788221
tfidf_nio,0.0008416404599754316
tfidf_=su,0.000834534111547516
tfidf_bmit=,0.0008236674681579712
tfidf_ord,0.0008016153823951378
tfidf_'/*,0.0007870441421762681
method_post,0.0007634569376975965
tfidf_user,0.000760168645416144
tfidf_t=s,0.0007247497898696238
tfidf_nion,0.0007175923344807098
tfidf_%27%2,0.0007125269319151408
tfidf_it=su,0.0007068939059329304
tfidf_union,0.0007053559824641164
tfidf_ge ,0.000691169234517251
tfidf_d1%2,0.0006785054223004197
tfidf_id=id,0.0006762979187900114
tfidf_rom,0.0006714394757505861
tfidf_3d1%2,0.0006563137871834691
tfidf_page ,0.0006330616520276391
tfidf_d%2,0.0006275489563614328
tfidf_cate,0.0006236481472277352
tfidf_ion ,0.0006170853359954401
tfidf_ from,0.0006082507955456536
tfidf_%29,0.0005878351882668937
tfidf_ser,0.0005860311163524232
tfidf_arch ,0.000585260403485157
tfidf_ear,0.0005786027579820902
tfidf_fro,0.0005576270145075976
has_union_select,0.0005573528739580634
tfidf_ate,0.0005460530319583385
tfidf_gor,0.0005460291821066145
tfidf_mit=s,0.0005412987624486811
tfidf_/**/,0.0005291687423925944
tfidf_ory ,0.0005193926898804902
tfidf_252,0.000509517704864645
tfidf_d%3d,0.0004900053930939189
tfidf_d1%27,0.00048629018538521354
tfidf_ry ,0.0004779324601268463
tfidf_=1 ,0.00045574968502466647
tfidf_ us,0.00044631114710802174
tfidf_ uni,0.0004241437949139911
